epoch,dataset,atten_masks,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn,Score
58,0,0,86.908,86.129,81.2921,91.5778,36941.42599,91.1178,67.342,79.1383,58.6062,2410.433332,121318,49311,4535,56124,11348,7622,698,493,6247,184,170.2561
32,2,2,85.5842,84.844,80.7003,89.4362,40718.92615,89.1761,63.4146,81.0658,52.0757,2998.395023,121318,48952,5782,54877,11707,7622,715,658,6082,167,170.2419
59,4,4,86.7893,86.0167,81.2641,91.3596,36906.16037,90.9866,67.0504,79.2517,58.1047,2354.790033,121318,49294,4662,55997,11365,7622,699,504,6236,183,170.2383
55,0,0,86.7415,86.0273,81.6301,90.9251,37330.49365,90.6455,66.3203,79.5918,56.8421,2469.46694,121318,49516,4942,55717,11143,7622,702,533,6207,180,170.2373
45,3,3,86.401,85.4792,80.0524,91.6951,38342.65436,90.8685,66.7939,79.3651,57.6606,2320.434526,121318,48559,4398,56261,12100,7622,700,514,6226,182,170.2336
57,4,4,86.7662,86.0876,81.8889,90.7402,37304.0404,90.4093,65.8252,79.8186,56.0064,2402.110764,121318,49673,5069,55590,10986,7622,704,553,6187,178,170.2279
41,4,4,86.1265,85.1527,79.5677,91.581,38574.29248,91.3146,67.7702,78.9116,59.3857,2359.532888,121318,48265,4437,56222,12394,7622,696,476,6264,186,170.2262
24,3,3,85.4902,84.3697,78.3214,91.4303,40111.61368,90.9735,67.0182,79.2517,58.0565,2443.988245,121318,47509,4453,56206,13150,7622,699,505,6235,183,170.2252
57,7,7,86.8783,86.1847,81.8576,90.9947,36871.59204,90.2913,65.5814,79.932,55.5994,2492.81831,121318,49654,4914,55745,11005,7622,705,563,6177,177,170.2233
24,2,2,85.5199,84.3243,77.8928,91.9134,39929.18835,91.1965,67.5061,79.0249,58.918,2493.053835,121318,47249,4157,56502,13410,7622,697,486,6254,185,170.2214
58,7,7,86.5758,86.087,83.0627,89.3399,37557.6759,88.9268,62.95,81.2925,51.361,2713.986399,121318,50385,6012,54647,10274,7622,717,679,6061,165,170.2193
