epoch,dataset,atten_masks,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn,Score
16,7,7,97.7143,97.7644,99.9571,95.6658,9845.839251,90.6193,65.5753,77.2109,56.9874,3709.801777,121318,60633,2747,57912,26,7622,681,514,6226,201,83.9151
9,4,4,97.101,97.1734,99.662,94.806,10854.46985,90.1076,64.5009,77.6644,55.153,2605.542795,121318,60454,3312,57347,205,7622,685,557,6183,197,83.886
9,2,2,97.9014,97.9326,99.4098,96.4986,9242.079859,92.0887,68.8694,75.6236,63.2227,2364.018237,121318,60301,2188,58471,358,7622,667,388,6352,215,83.85615
14,9,9,97.7629,97.8101,99.9176,95.7897,8996.952499,90.4687,65.1297,77.221,56.3123,3264.482429,121318,60609,2664,57995,50,7617,678,526,6213,200,83.84485
33,2,2,98.6828,98.6997,99.9802,97.4515,5712.498178,90.6586,65.6039,76.9841,57.1549,4829.536942,121318,60647,1586,59073,12,7622,679,509,6231,203,83.82135
7,8,8,96.4276,96.5274,99.3027,93.9031,13493.74368,89.2023,62.6757,78.3447,52.2298,2740.525591,121318,60236,3911,56748,423,7622,691,632,6108,191,83.7735
0,6,6,86.4084,86.0529,83.8589,88.3647,42507.6507,87.3524,59.4617,80.1587,47.2594,3122.180864,121318,50868,6698,53961,9791,7622,707,789,5951,175,83.75555
32,1,1,98.9309,98.9419,99.967,97.9375,4826.729504,91.3802,67.1336,76.0771,60.0716,4473.463774,121318,60639,1277,59382,20,7622,671,446,6294,211,83.72865
12,7,7,98.0151,98.049,99.7527,96.4026,8589.889646,91.3671,67.1,76.0771,60.0179,3105.664536,121318,60509,2258,58401,150,7622,671,447,6293,211,83.7221
11,0,0,97.7456,97.792,99.8483,95.8187,8963.453012,90.7898,65.8228,76.644,57.6792,3001.851637,121318,60567,2643,58016,92,7622,676,496,6244,206,83.7169
28,3,3,98.8361,98.8468,99.7659,97.9446,5009.108908,92.1281,68.8797,75.2834,63.4799,3574.187006,121318,60517,1270,59389,142,7622,664,382,6358,218,83.70575
29,3,3,97.8676,97.912,99.9967,95.9125,8389.138348,88.7169,61.7438,78.6848,50.8053,4641.728212,121318,60657,2585,58074,2,7622,694,672,6068,188,83.70085
12,2,2,98.2781,98.2953,99.2895,97.3209,7501.378257,92.2068,69.0625,75.1701,63.8728,2707.894599,121318,60228,1658,59001,431,7622,663,375,6365,219,83.68845
15,4,4,97.9912,98.0278,99.845,96.2755,8826.152887,90.8292,65.8858,76.5306,57.8406,3395.165447,121318,60565,2343,58316,94,7622,675,492,6248,207,83.6799
2,8,8,90.6865,90.9825,93.9696,88.1795,29709.64698,85.3844,56.4844,81.9728,43.087,2884.492868,121318,57001,7641,53018,3658,7622,723,955,5785,159,83.6786
28,0,0,97.3912,97.4521,99.7824,95.2281,12147.63847,90.0157,64.1882,77.3243,54.8673,5021.442637,121318,60527,3033,57626,132,7622,682,561,6179,200,83.67
11,2,2,98.2253,98.2487,99.5598,96.9716,7658.120855,91.7082,67.8535,75.6236,61.5314,2792.443589,121318,60392,1886,58773,267,7622,667,417,6323,215,83.6659
