epoch,dataset,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn,Score
29,5,87.1149,86.2086,80.5437,92.7307,36041.91431,91.7476,68.6284,78.0045,61.2645,2310.587391,121318,48857,3830,0,11802,7622,688,435,0,194,84.87605
19,5,86.1974,85.5688,81.8411,89.6522,39098.10318,89.4778,63.8413,80.2721,52.994,2850.181585,121318,49644,5730,0,11015,7622,708,628,0,174,84.87495
53,3,88.681,88.116,83.9265,92.7456,31460.99802,90.9473,66.8269,78.7982,58.0134,2398.306669,121318,50909,3982,0,9750,7622,695,503,0,187,84.87275
39,1,88.5104,87.8824,83.3281,92.9633,33309.519,91.5114,68.0809,78.2313,60.262,1973.872583,121318,50546,3826,0,10113,7622,690,455,0,192,84.87135
7,1,85.3204,84.0053,77.0982,92.2717,42946.41988,91.9181,69.0141,77.7778,62.0253,2121.052586,121318,46767,3917,0,13892,7622,686,420,0,196,84.84795
11,5,85.6254,84.6335,79.1704,90.9063,40825.68771,90.7767,66.4439,78.9116,57.3784,2575.264617,121318,48024,4804,0,12635,7622,696,517,0,186,84.84415
30,2,87.1025,86.3672,81.7092,91.5884,35674.59913,90.0945,65.0301,79.5918,54.9726,2503.151268,121318,49564,4552,0,11095,7622,702,575,0,180,84.84315
17,3,86.4117,85.8012,82.1115,89.838,39414.4527,89.2941,63.4736,80.3855,52.4408,2650.891005,121318,49808,5634,0,10851,7622,709,643,0,173,84.8398
26,2,86.7654,86.1546,82.3538,90.3231,37023.17617,89.1761,63.2517,80.4989,52.091,2705.579996,121318,49955,5352,0,10704,7622,710,653,0,172,84.8375
8,3,85.4523,84.6947,80.5025,89.3475,42303.5062,89.1761,63.2517,80.4989,52.091,2762.161139,121318,48832,5822,0,11827,7622,710,653,0,172,84.8375
41,3,87.7751,86.9198,81.2361,93.4586,34778.31155,91.8657,68.8755,77.7778,61.8018,2124.779833,121318,49277,3449,0,11382,7622,686,424,0,196,84.82175
34,5,87.2278,86.5318,82.0604,91.5187,35152.38623,90.37,65.5722,79.2517,55.92,2527.473675,121318,49777,4613,0,10882,7622,699,551,0,183,84.81085
31,2,87.2517,86.5772,82.2269,91.4136,35384.05637,90.0157,64.8499,79.5918,54.7155,2532.123461,121318,49878,4685,0,10781,7622,702,581,0,180,84.80375
48,3,87.9169,87.5273,84.7937,90.4431,33474.05252,89.2154,63.3036,80.3855,52.2091,2658.494066,121318,51435,5435,0,9224,7622,709,649,0,173,84.80045
55,3,88.5499,88.0449,84.3255,92.1075,31257.37067,90.4618,65.756,79.1383,56.245,2476.153851,121318,51151,4383,0,9508,7622,698,543,0,184,84.80005
43,3,88.2136,87.4668,82.2549,93.3839,33885.97714,91.5901,68.2201,78.0045,60.6167,2174.635477,121318,49895,3535,0,10764,7622,688,447,0,194,84.7973
27,2,86.8247,86.3389,83.2688,89.6442,36841.08065,88.6119,62.1951,80.9524,50.495,2761.334642,121318,50510,5835,0,10149,7622,714,700,0,168,84.78215
30,5,87.2195,86.2433,80.1233,93.3756,35975.5718,92.1149,69.4459,77.4376,62.9493,2150.385988,121318,48602,3448,0,12057,7622,683,402,0,199,84.77625
40,5,87.5427,86.7825,81.7917,92.422,33886.04894,91.1965,67.3161,78.3447,59.0094,2481.472784,121318,49614,4068,0,11045,7622,691,480,0,191,84.7706
12,3,85.9452,84.8056,78.4451,92.2886,40924.67276,91.4065,67.7816,78.1179,59.861,2286.73237,121318,47584,3976,0,13075,7622,689,462,0,193,84.7622
7,3,85.3089,84.361,79.2479,90.1793,42613.02403,89.9108,64.6111,79.5918,54.3765,2592.723675,121318,48071,5235,0,12588,7622,702,589,0,180,84.7513
11,3,85.7292,85.1481,81.8164,88.7627,41291.61794,88.5463,62.06,80.9524,50.3171,2821.961105,121318,49629,6283,0,11030,7622,714,705,0,168,84.74935
26,3,86.7439,85.6344,79.0204,93.4567,38088.50864,92.1543,69.5209,77.3243,63.1481,2101.487944,121318,47933,3356,0,12726,7622,682,398,0,200,84.7393
13,3,85.6559,85.3071,83.282,87.4332,41217.76509,87.4967,60.2751,81.9728,47.6599,2998.146368,121318,50518,7261,0,10141,7622,723,794,0,159,84.73475
39,3,86.7884,86.7313,86.3582,87.1078,37128.61452,86.4734,58.6774,82.9932,45.3813,3086.830662,121318,52384,7753,0,8275,7622,732,881,0,150,84.7333
28,3,87.025,86.0774,80.2189,92.8591,37294.64008,91.5639,68.121,77.8912,60.5286,2214.699211,121318,48660,3742,0,11999,7622,687,448,0,195,84.72755
10,2,85.4572,84.8666,81.5543,88.4593,42062.94302,87.9822,61.0544,81.4059,48.8435,2948.806469,121318,49470,6454,0,11189,7622,718,752,0,164,84.69405
15,5,86.0474,84.9558,78.7913,92.1668,39598.74965,91.4721,67.8854,77.8912,60.1576,2280.800872,121318,47794,4062,0,12865,7622,687,455,0,195,84.68165
59,3,88.1691,87.7875,85.0443,90.7136,31853.97284,89.1892,63.1814,80.1587,52.1386,2735.521955,121318,51587,5281,0,9072,7622,707,649,0,175,84.67395
46,5,87.5451,86.8709,82.4099,91.8426,33342.03496,90.7242,66.2207,78.5714,57.2254,2647.911059,121318,49989,4440,0,10670,7622,693,518,0,189,84.6478
45,3,88.0974,87.2784,81.6598,93.7274,34299.30581,91.9575,68.9934,77.3243,62.2831,2071.802845,121318,49534,3315,0,11125,7622,682,413,0,200,84.6409
9,5,85.233,84.5655,80.908,88.5693,42246.29887,88.7825,62.4176,80.4989,50.9691,2892.003708,121318,49078,6334,0,11581,7622,710,683,0,172,84.6407
33,5,87.2706,86.2255,79.6831,93.9383,35571.8395,92.5216,70.3742,76.7574,64.9712,2099.651731,121318,48335,3119,0,12324,7622,677,365,0,205,84.6395
32,2,87.2129,86.6035,82.6637,90.9376,35273.81627,89.5697,63.8801,79.7052,53.298,2603.093138,121318,50143,4997,0,10516,7622,703,616,0,179,84.63745
15,2,85.838,84.5757,77.6538,92.8524,40466.58511,91.6033,68.1592,77.6644,60.727,2217.176302,121318,47104,3626,0,13555,7622,685,443,0,197,84.63385
20,5,86.5535,85.748,80.9014,91.2122,38205.20483,90.5799,65.9069,78.6848,56.6993,2527.387741,121318,49074,4728,0,11585,7622,694,530,0,188,84.63235
20,2,86.3071,85.1851,78.7336,92.7882,38881.98561,91.4983,67.889,77.6644,60.2993,2212.740091,121318,47759,3712,0,12900,7622,685,451,0,197,84.58135
59,1,90.792,91.1376,94.6916,87.8406,27319.25113,85.5943,57.3095,83.5601,43.6095,2579.399403,121318,57439,7951,0,3220,7622,737,953,0,145,84.5772
38,5,87.4874,86.5963,80.8388,93.2367,34347.76485,91.9313,68.8923,77.2109,62.1918,2211.431149,121318,49036,3557,0,11623,7622,681,414,0,201,84.5711
57,3,87.5517,87.3161,85.6938,89.0009,34172.48635,87.8378,60.737,81.2925,48.4787,2986.51255,121318,51981,6424,0,8678,7622,717,762,0,165,84.56515
46,1,88.418,88.9292,93.0348,85.1705,32953.10918,83.1803,54.1816,85.941,39.5616,3056.54166,121318,56434,9826,0,4225,7622,758,1158,0,124,84.56065
11,2,85.7128,84.6018,78.4978,91.7351,41339.41235,90.7373,66.1877,78.3447,57.2968,2394.213732,121318,47616,4290,0,13043,7622,691,515,0,191,84.541
21,2,86.3862,85.2927,78.9512,92.7419,38562.13512,91.3015,67.4201,77.7778,59.497,2241.214928,121318,47891,3748,0,12768,7622,686,467,0,196,84.53965
6,3,85.0311,83.9247,78.1483,90.623,43320.53148,90.265,65.197,78.7982,55.6,2527.879702,121318,47404,4905,0,13255,7622,695,555,0,187,84.5316
20,9,86.734,86.2674,83.3364,89.4122,38118.73332,88.7489,62.1967,80.2961,50.7559,2834.254196,121318,50551,5986,0,10108,7617,705,684,0,173,84.5225
38,1,87.9086,87.0302,81.1355,93.8484,34411.84212,92.2855,69.7219,76.7574,63.8679,1837.49331,121318,49216,3226,0,11443,7622,677,383,0,205,84.52145
6,2,84.9066,84.0606,79.5991,89.052,43912.4592,88.8612,62.4834,80.1587,51.1948,2882.819366,121318,48284,5936,0,12375,7622,707,674,0,175,84.50995
